"N. Identificación","Nombre Cliente","Dirección","Teléfono","Correo Electrónico"
"569906245","David Webb","Calle 24 # 5-60,","300 1234567","stevenrodriguez@gmail.com"
"328037408","Kim Russell","Calle 16 # 5-41","301 2345678","cindy11@wood.com"
"969677194","Michael Holt","Cra 1 Este # 19A-40","302 3456789","rmiller@hubbard-benitez.com"
"796337665","Mr. Justin Cook","Calle 44 # 52-165,","304 4567890","ofritz@richards.com"
"636808209","Timothy Wood","Carrera 52 # 52-43","305 5678901","christina78@yahoo.com"
"975617669","Yolanda Hines","Calle 30N # 2AN-29"," 310 6789012","cscott@hotmail.com"
"569390187","Jasmine Kelly","Calle 40 # 45-48","312 7890123","fitzgeraldelizabeth@yahoo.com"
"325459789","Robert Smith","Calle 13 # 100-00","315 8901234","smithtimothy@wallace.com"
"325603096","Jonathan Smith","Calle 26 # 103-09"," 318 9012345","debragriffin@hotmail.com"
"819212515","Erin Marshall","Calle 1 # 6-23","319 0123456","sethsmith@robinson.com"
"444056964","Mark Ford","Carrera 7 # 40-62","319 0123456","millerricardo@hotmail.com"
"717643055","Cynthia Lee","Av. del Puerto # 28-50","323 2345678","christinaflores@jones.org"
